Tax accrued (Me),on a cash basis (Me) paid,close of 2020,effective rate du,effective rate paid,,,
Spain,"2,673",367,51,0.7,"20,860",4.8,
Germany,12,75,8,0.1,428,2,
Mexico,238,54,19,7.1,"1,978",5.8,9
Australia,881,33,13,0.0,"1,704",4.5,10
Poland,335,19,1.4,"1,523",9,,
Saudi Arabia,329,10,6.6,131,,,
Portugal,152,5.2,"2,015",0.01,11,,
Brazil,44,8,-16,0.2,390,3,2
USA,71,41,6,0.0,184,13,2.10
Canada,327,-44,0.1,0.1,"1,379",2,
Others,"1,409",35,27,24.8,"7,763",03,
Total,"6,472",508,97,44.5,"38,355",6.4,
